latitude,longitude,temperature_max,temperature_min,humidity_max,humidity_min,precipitation_sum,windspeed_max,wind_direction,day,month,dayofweek,brightness,bright_t31,frp,fire_prob
29.7,78.3,31.8,25.1,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14994292
29.7,78.32,31.7,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13892235
29.7,78.33999999999999,31.7,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13892235
29.7,78.35999999999999,31.7,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13892235
29.7,78.37999999999998,31.6,25.4,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13884492
29.7,78.39999999999998,32.0,25.6,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053043567
29.7,78.41999999999997,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.7,78.43999999999997,31.4,25.3,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13846825
29.7,78.45999999999997,31.4,25.3,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13846825
29.7,78.47999999999996,31.4,25.3,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13846825
29.7,78.49999999999996,31.4,25.3,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13846825
29.7,78.51999999999995,31.5,25.3,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13876761
29.7,78.53999999999995,31.1,25.4,94,71,5.0,7.9,84,5,9,4,0,0,0,0.2613314
29.7,78.55999999999995,31.1,25.4,94,71,5.0,7.9,84,5,9,4,0,0,0,0.2613314
29.7,78.57999999999994,31.7,26.0,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26317674
29.7,78.59999999999994,29.6,23.8,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011415665
29.7,78.61999999999993,29.3,23.4,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011400655
29.7,78.63999999999993,29.5,23.6,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011430198
29.7,78.65999999999993,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445278
29.7,78.67999999999992,30.0,24.1,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011504495
29.7,78.69999999999992,27.4,22.5,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021211782
29.7,78.71999999999991,28.2,23.3,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021542205
29.7,78.73999999999991,28.2,23.3,93,78,8.3,5.6,51,5,9,4,0,0,0,0.098561294
29.7,78.7599999999999,28.2,23.3,93,78,8.3,5.6,51,5,9,4,0,0,0,0.098561294
29.7,78.7799999999999,29.6,23.7,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445041
29.7,78.7999999999999,29.7,23.9,96,76,16.2,6.0,68,5,9,4,0,0,0,0.0114304405
29.7,78.8199999999999,28.5,24.4,92,78,7.8,5.6,49,5,9,4,0,0,0,0.114353724
29.7,78.83999999999989,28.0,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021459127
29.7,78.85999999999989,28.7,24.6,92,78,7.8,5.6,49,5,9,4,0,0,0,0.11448478
29.7,78.87999999999988,26.3,21.2,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09508266
29.7,78.89999999999988,28.5,24.4,92,78,7.8,5.6,49,5,9,4,0,0,0,0.11435353
29.7,78.91999999999987,26.1,21.0,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09497125
29.7,78.93999999999987,25.6,21.8,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02138403
29.7,78.95999999999987,23.4,18.9,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08002293
29.7,78.97999999999986,27.1,22.6,93,83,12.2,6.8,86,5,9,4,0,0,0,0.026398052
29.7,78.99999999999986,28.0,23.5,93,83,12.2,6.8,86,5,9,4,0,0,0,0.026547601
29.72,78.3,31.7,25.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14986031
29.72,78.32,31.6,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13862322
29.72,78.33999999999999,31.6,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13862322
29.72,78.35999999999999,31.6,25.4,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13884492
29.72,78.37999999999998,32.0,25.6,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053043567
29.72,78.39999999999998,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.72,78.41999999999997,32.6,25.9,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15060508
29.72,78.43999999999997,31.3,25.1,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13861226
29.72,78.45999999999997,31.3,25.1,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13861226
29.72,78.47999999999996,31.3,25.1,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13861226
29.72,78.49999999999996,32.6,25.9,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15060508
29.72,78.51999999999995,31.3,25.1,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13861226
29.72,78.53999999999995,30.7,25.0,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26010594
29.72,78.55999999999995,32.1,25.4,99,72,7.5,5.9,68,5,9,4,0,0,0,0.1501909
29.72,78.57999999999994,31.8,26.1,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26348495
29.72,78.59999999999994,30.3,24.5,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011519634
29.72,78.61999999999993,30.1,24.3,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011489824
29.72,78.63999999999993,31.4,25.7,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26225305
29.72,78.65999999999993,30.3,24.5,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011519634
29.72,78.67999999999992,27.7,22.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021335097
29.72,78.69999999999992,28.8,23.9,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021793256
29.72,78.71999999999991,28.3,23.4,93,78,8.3,5.6,51,5,9,4,0,0,0,0.09861889
29.72,78.73999999999991,28.5,23.6,93,78,8.3,5.6,51,5,9,4,0,0,0,0.09873403
29.72,78.7599999999999,30.1,24.3,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011489824
29.72,78.7799999999999,28.4,23.6,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021581711
29.72,78.7999999999999,28.1,23.3,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02145706
29.72,78.8199999999999,28.6,23.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021665249
29.72,78.83999999999989,28.7,24.6,92,78,7.8,5.6,49,5,9,4,0,0,0,0.11448476
29.72,78.85999999999989,28.2,24.1,92,78,7.8,5.6,49,5,9,4,0,0,0,0.1141566
29.72,78.87999999999988,28.1,23.3,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02145706
29.72,78.89999999999988,26.3,21.2,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09508266
29.72,78.91999999999987,25.9,20.8,97,82,8.0,7.4,107,5,9,4,0,0,0,0.094859794
29.72,78.93999999999987,23.5,19.0,95,86,8.2,8.0,203,5,9,4,0,0,0,0.0800707
29.72,78.95999999999987,26.3,22.6,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021420714
29.72,78.97999999999986,25.9,22.2,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02137562
29.72,78.99999999999986,27.5,22.9,93,83,12.2,6.8,86,5,9,4,0,0,0,0.026514629
29.74,78.3,31.8,25.1,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14994292
29.74,78.32,31.6,25.4,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13884492
29.74,78.33999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.74,78.35999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.74,78.37999999999998,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.74,78.39999999999998,32.6,25.9,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15060508
29.74,78.41999999999997,32.5,25.8,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15052222
29.74,78.43999999999997,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.74,78.45999999999997,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.74,78.47999999999996,32.5,25.8,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15052222
29.74,78.49999999999996,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.74,78.51999999999995,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.74,78.53999999999995,30.7,25.0,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26010594
29.74,78.55999999999995,31.0,25.3,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26102477
29.74,78.57999999999994,29.8,23.9,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011474715
29.74,78.59999999999994,30.0,24.1,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011504495
29.74,78.61999999999993,31.2,25.5,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26163843
29.74,78.63999999999993,30.1,24.2,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011519405
29.74,78.65999999999993,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02137426
29.74,78.67999999999992,27.6,22.7,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021293914
29.74,78.69999999999992,28.7,23.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021751238
29.74,78.71999999999991,29.3,23.5,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011371398
29.74,78.73999999999991,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445274
29.74,78.7599999999999,29.8,23.9,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011474709
29.74,78.7799999999999,27.7,22.9,94,79,13.7,7.3,90,5,9,4,0,0,0,0.0212918
29.74,78.7999999999999,28.0,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021459127
29.74,78.8199999999999,26.2,21.1,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09502694
29.74,78.83999999999989,28.7,23.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021751238
29.74,78.85999999999989,26.6,22.8,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021497045
29.74,78.87999999999988,26.0,20.9,97,82,8.0,7.4,107,5,9,4,0,0,0,0.094915554
29.74,78.89999999999988,24.6,20.2,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08045998
29.74,78.91999999999987,24.1,19.7,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08022051
29.74,78.93999999999987,23.8,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08007722
29.74,78.95999999999987,24.7,20.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08050798
29.74,78.97999999999986,26.5,22.0,93,83,12.2,6.8,86,5,9,4,0,0,0,0.026303729
29.74,78.99999999999986,25.8,22.1,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021364355
29.76,78.3,31.8,25.1,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14994292
29.76,78.32,31.6,25.5,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13862322
29.76,78.33999999999999,32.0,25.6,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053043567
29.76,78.35999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.76,78.37999999999998,32.6,25.9,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15060508
29.76,78.39999999999998,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.76,78.41999999999997,32.3,25.6,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15035641
29.76,78.43999999999997,32.2,25.5,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15027376
29.76,78.45999999999997,32.1,25.4,99,72,7.5,5.9,68,5,9,4,0,0,0,0.1501909
29.76,78.47999999999996,32.3,25.6,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15035641
29.76,78.49999999999996,32.1,25.4,99,72,7.5,5.9,68,5,9,4,0,0,0,0.1501909
29.76,78.51999999999995,31.6,25.9,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26286858
29.76,78.53999999999995,31.0,25.3,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26102477
29.76,78.55999999999995,30.6,25.2,95,76,9.2,6.5,75,5,9,4,0,0,0,0.085365675
29.76,78.57999999999994,29.3,24.0,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08456626
29.76,78.59999999999994,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02137426
29.76,78.61999999999993,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445278
29.76,78.63999999999993,29.4,24.0,95,76,9.2,6.5,75,5,9,4,0,0,0,0.084760435
29.76,78.65999999999993,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021374239
29.76,78.67999999999992,29.4,24.1,95,76,9.2,6.5,75,5,9,4,0,0,0,0.084616534
29.76,78.69999999999992,28.6,23.7,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021709263
29.76,78.71999999999991,30.1,24.3,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011489824
29.76,78.73999999999991,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445278
29.76,78.7599999999999,28.5,23.6,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021667382
29.76,78.7799999999999,28.1,23.2,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021500604
29.76,78.7999999999999,26.7,22.3,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054691352
29.76,78.8199999999999,23.9,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.0802619
29.76,78.83999999999989,25.8,22.0,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02140658
29.76,78.85999999999989,26.1,21.0,97,82,8.0,7.4,107,5,9,4,0,0,0,0.0949713
29.76,78.87999999999988,25.6,20.5,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09469308
29.76,78.89999999999988,23.8,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08007722
29.76,78.91999999999987,22.8,18.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.07973711
29.76,78.93999999999987,24.2,19.8,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080268264
29.76,78.95999999999987,25.1,20.6,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08083789
29.76,78.97999999999986,25.6,21.9,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021341808
29.76,78.99999999999986,23.9,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.0802619
29.78,78.3,31.7,25.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14986031
29.78,78.32,31.6,25.4,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13884492
29.78,78.33999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.78,78.35999999999999,32.7,26.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15068784
29.78,78.37999999999998,32.5,25.8,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15052222
