acq_date,grid_id,brightness,bright_t31,frp,day,month,dayofweek,target,lat_grid,lon_grid,temperature_max,temperature_min,precipitation_sum,windspeed_max,humidity_max,humidity_min
2020-02-01,29.6_78.7,314.5,291.25,13.8,1,2,5,0,29.6,78.7,16.5,6.2,0.0,11.6,98,48
2020-02-09,30.2_79.1,307.4,284.6,11.4,9,2,6,0,30.2,79.1,7.2,-1.3,0.0,6.2,79,10
2020-02-12,29.9_79.0,301.3,287.5,5.8,12,2,2,0,29.9,79.0,16.7,2.5,0.0,13.1,75,32
2020-02-13,29.6_78.9,306.2,293.70000000000005,16.45,13,2,3,0,29.6,78.9,25.3,12.2,0.0,12.1,79,48
2020-02-16,30.0_79.0,305.25,290.95,30.05,16,2,6,0,30.0,79.0,16.9,5.8,0.0,10.5,96,35
2020-03-30,30.0_79.3,308.0,295.3,5.6,30,3,0,0,30.0,79.3,21.4,6.9,0.0,10.4,84,41
2020-04-24,29.6_78.9,316.3,303.4,7.9,24,4,4,0,29.6,78.9,30.3,18.8,0.2,9.0,78,36
2020-05-07,30.1_78.7,317.7,301.5,7.7,7,5,3,0,30.1,78.7,21.3,11.4,0.7,10.9,86,43
2020-05-16,30.1_78.7,326.9,310.0,12.9,16,5,5,0,30.1,78.7,27.3,16.9,0.0,10.1,69,35
2020-05-23,30.1_78.7,323.7,308.9,6.7,23,5,5,0,30.1,78.7,29.0,19.8,0.0,12.5,70,30
2020-05-24,29.5_79.5,321.8,309.2,6.5,24,5,6,0,29.5,79.5,32.2,23.9,0.4,11.9,58,28
2020-05-25,29.5_79.5,325.3,312.8,7.4,25,5,0,1,29.5,79.5,32.1,25.8,0.0,10.3,61,27
2020-05-25,30.1_79.4,330.3,305.4,18.0,25,5,0,0,30.1,79.4,29.6,20.8,0.0,7.7,60,25
2020-05-26,30.2_78.7,324.3,310.4,6.2,26,5,1,0,30.2,78.7,30.7,18.5,0.0,8.6,63,24
2020-06-25,30.2_78.8,317.4,299.2,5.7,25,6,3,0,30.2,78.8,29.0,21.4,12.5,7.5,98,71
2020-09-22,29.5_79.1,312.3,295.2,4.8,22,9,1,0,29.5,79.1,31.7,22.9,3.6,8.9,92,59
2020-09-28,30.2_79.0,312.25,298.65,7.6,28,9,0,0,30.2,79.0,24.5,14.4,0.1,7.2,85,41
2020-10-03,29.8_79.4,318.7,303.9,17.4,3,10,5,0,29.8,79.4,24.2,15.1,0.1,10.3,99,61
2020-10-09,30.0_78.7,315.1,303.1,8.5,9,10,4,0,30.0,78.7,28.7,18.5,0.0,8.0,85,47
2020-10-10,30.1_79.5,309.9,299.0,6.7,10,10,5,0,30.1,79.5,25.5,13.8,0.0,4.5,81,27
2020-10-12,29.8_79.2,319.4,304.0,15.8,12,10,0,0,29.8,79.2,27.6,16.6,0.0,11.8,86,45
2020-10-14,29.8_78.9,314.5,301.3,8.3,14,10,2,0,29.8,78.9,27.3,18.0,0.0,9.6,82,53
2020-10-16,29.8_79.3,318.6,305.5,9.55,16,10,4,0,29.8,79.3,27.5,11.9,0.0,12.6,84,32
2020-10-17,29.7_79.4,321.3,307.0,11.5,17,10,5,0,29.7,79.4,27.0,11.7,0.0,12.1,79,28
2020-10-23,29.7_79.3,316.8,303.6,8.8,23,10,4,0,29.7,79.3,27.4,11.9,0.0,12.6,89,32
2020-10-24,29.8_78.9,312.9,298.4,9.2,24,10,5,0,29.8,78.9,25.4,14.1,0.0,10.0,75,37
2020-10-25,29.7_79.4,315.2,304.0,8.2,25,10,6,0,29.7,79.4,24.8,9.9,0.0,13.4,86,31
2020-10-25,29.8_79.0,311.8,299.2,8.3,25,10,6,0,29.8,79.0,17.7,7.8,0.0,10.2,72,38
2020-10-25,29.9_78.8,312.8,302.2,9.0,25,10,6,0,29.9,78.8,26.2,10.3,0.0,8.0,98,39
2020-10-25,30.2_78.7,316.0,302.7,12.2,25,10,6,0,30.2,78.7,23.4,13.5,0.0,9.7,82,37
2020-10-26,29.8_79.0,322.76666666666665,299.1666666666667,56.36666666666667,26,10,0,1,29.8,79.0,16.7,6.0,0.0,13.3,61,24
2020-10-26,29.9_79.0,308.3,297.2,7.2,26,10,0,0,29.9,79.0,19.6,10.7,0.0,14.1,70,24
2020-10-26,30.1_78.7,308.9,297.1,16.0,26,10,0,0,30.1,78.7,21.5,11.8,0.1,8.0,70,25
2020-10-28,29.7_79.2,311.5,301.3,8.3,28,10,2,0,29.7,79.2,23.8,7.4,0.0,12.8,95,32
2020-10-28,29.9_79.0,312.1,299.5,13.4,28,10,2,0,29.9,79.0,21.2,9.8,0.0,9.7,84,29
2020-10-28,30.1_78.9,308.5,297.4,17.4,28,10,2,0,30.1,78.9,23.3,11.6,0.0,9.4,80,31
2020-10-30,29.9_79.4,311.7,300.1,5.5,30,10,4,0,29.9,79.4,26.5,10.5,0.0,11.2,77,32
2020-10-30,30.0_78.9,309.3,297.0,5.8,30,10,4,0,30.0,78.9,18.0,3.8,0.0,15.3,75,28
